epidemic_name,population_name,standard_name,location_code,enabled,notes
Dominica,Dominica,Dominica,DMA,true,exact
Dominican Republic,Dominican Republic,Dominican Republic,DOM,true,exact
East Timor,Timor-Leste,Timor-Leste,TLS,true,manual
Ecuador,Ecuador,Ecuador,ECU,true,exact
Egypt,Egypt,Egypt,EGY,true,exact
El Salvador,El Salvador,El Salvador,SLV,true,exact
Equatorial Guinea,Equatorial Guinea,Equatorial Guinea,GNQ,true,exact
Eritrea,Eritrea,Eritrea,ERI,true,exact
Estonia,Estonia,Estonia,EST,true,exact
Eswatini,Eswatini,Eswatini,SWZ,true,manual
Ethiopia,Ethiopia,Ethiopia,ETH,true,exact
Faroe Islands,Faroe Islands,Faroe Islands,FRO,true,exact
Fiji,Fiji,Fiji,FJI,true,exact
Finland,Finland,Finland,FIN,true,exact
France,France,France,FRA,true,exact
French Guiana,French Guiana,French Guiana,GUF,true,exact
Gabon,Gabon,Gabon,GAB,true,exact
Gambia,Gambia,Gambia,GMB,true,exact
"Gambia, The",Gambia,Gambia,GMB,true,manual
Georgia,Georgia,Georgia,GEO,true,exact
Germany,Germany,Germany,DEU,true,exact
Ghana,Ghana,Ghana,GHA,true,exact
Gibraltar,Gibraltar,Gibraltar,GIB,true,exact
Greece,Greece,Greece,GRC,true,exact
Greenland,Greenland,Greenland,GRL,true,exact
Grenada,Grenada,Grenada,GRD,true,exact
Guadeloupe,Guadeloupe,Guadeloupe,GLP,true,exact
Guam,Guam,Guam,GUM,true,exact
Guatemala,Guatemala,Guatemala,GTM,true,exact
Guernsey,Guernsey,Guernsey,GGY,true,exact
Guinea,Guinea,Guinea,GIN,true,exact
Guinea-Bissau,Guinea-Bissau,Guinea-Bissau,GNB,true,exact
Guyana,Guyana,Guyana,GUY,true,exact
Haiti,Haiti,Haiti,HTI,true,exact
Holy See,Vatican City,Vatican City,VAT,true,manual
Honduras,Honduras,Honduras,HND,true,exact
Hong Kong,Hong Kong,Hong Kong,HKG,true,exact
Hungary,Hungary,Hungary,HUN,true,exact
Iceland,Iceland,Iceland,ISL,true,exact
India,India,India,IND,true,exact
Indonesia,Indonesia,Indonesia,IDN,true,exact
Iran,Iran,Iran,IRN,true,exact
Iraq,Iraq,Iraq,IRQ,true,exact
Ireland,Ireland,Ireland,IRL,true,exact
Israel,Israel,Israel,ISR,true,exact
Italy,Italy,Italy,ITA,true,exact
Ivory Coast,Ivory Coast,Ivory Coast,CIV,true,exact
Jamaica,Jamaica,Jamaica,JAM,true,exact
Japan,Japan,Japan,JPN,true,exact
Jersey,Jersey,Jersey,JEY,true,exact
Jordan,Jordan,Jordan,JOR,true,exact
Kazakhstan,Kazakhstan,Kazakhstan,KAZ,true,exact
Kenya,Kenya,Kenya,KEN,true,exact
Kiribati,Kiribati,Kiribati,KIR,true,exact
Kosovo,,Kosovo,,false,unmapped; no matching CCA3 row in current population file
Kuwait,Kuwait,Kuwait,KWT,true,exact
Kyrgyzstan,Kyrgyzstan,Kyrgyzstan,KGZ,true,exact
Laos,Laos,Laos,LAO,true,manual
Latvia,Latvia,Latvia,LVA,true,exact
Lebanon,Lebanon,Lebanon,LBN,true,exact
Lesotho,Lesotho,Lesotho,LSO,true,exact
Liberia,Liberia,Liberia,LBR,true,exact
Libya,Libya,Libya,LBY,true,exact
